National Grid BMU ID,Elexon BMU ID,BMU Name,Generation Capacity (MW),Fuel Type,Lead Party Name
"NNGAO-2","T_NNGAO-2","Neart Na Gaiothe WF 2",224.000,"WIND","Neart Na Gaoithe Offshore Wind"
"OMNDO-1","T_OMNDW-1","Ormonde Energy Limited 1",150.760,"WIND","Ormonde Energy Ltd"
"PGBIW-1","T_PGBIW-1","Pogbie WF",10.000,"WIND","EDF Energy Customers Ltd"
"PNYCW-1","T_PNYCW-1","PNYCW-1 Export",228.000,"WIND","Pen y Cymoedd Wind Farm LTD"
"RCBKO-1","T_RCBKO-1","RACE_BANK_Z01",284.000,"WIND","Race Bank Wind Farm Ltd"
"RCBKO-2","T_RCBKO-2","RACE_BANK_Z02",290.000,"WIND","Race Bank Wind Farm Ltd"
"RMPNO-1","T_RMPNO-1","Rampion Offshore Wind BMU 1",200.100,"WIND","Rampion Offshore Windfarm Ltd"
"RMPNO-2","T_RMPNO-2","Rampion Offshore Wind BMU 2",200.100,"WIND","Rampion Offshore Windfarm Ltd"
"RREW-1","T_RREW-1","T_RREW-1",114.293,"WIND","RWE Renewables UK Robin Rigg"
"RRWW-1","T_RRWW-1","T_RRWW-1",90.838,"WIND","RWE Renewables UK Robin Rigg"
"SAKNW-1","T_SAKNW-1","Sandy Knowe Wind Farm",87.000,"WIND","Sandy Knowe Wind Farm Ltd"
"SANQW-1","T_SANQW-1","SANQUHAR",32.080,"WIND","SANQUHAR CWCL"
"SGRWO-1","T_SGRWO-1","Seagreen1 Offshore WF 1",358.000,"WIND","Seagreen Wind Energy Limited"
"SGRWO-2","T_SGRWO-2","Seagreen1 Offshore WF 2",220.000,"WIND","Seagreen Wind Energy Limited"
"SGRWO-3","T_SGRWO-3","Seagreen1 Offshore WF 3",374.618,"WIND","Seagreen Wind Energy Limited"
"SGRWO-4","T_SGRWO-4","Seagreen1 Offshore WF 4",140.000,"WIND","Seagreen Wind Energy Limited"
"SGRWO-5","T_SGRWO-5","Seagreen1 Offshore WF 5",300.000,"WIND","Seagreen Wind Energy Limited"
"SGRWO-6","T_SGRWO-6","Seagreen1 Offshore WF 6",380.000,"WIND","Seagreen Wind Energy Limited"
"SHRSO-1","T_SHRSW-1","Sheringham Shoal Unit 1",158.400,"WIND","Scira Offshore Energy Limited"
"SHRSO-2","T_SHRSW-2","Sheringham Shoal Unit 2",158.400,"WIND","Scira Offshore Energy Limited"
"SOKYW-1","T_SOKYW-1","South Kyle Wind Farm",426.916,"WIND","South Kyle Wind Farm Limited"
"STLGW-1","T_STLGW-1","Stronelairg Windfarm 1",108.000,"WIND","Stronelairg Windfarm Limited"
"STLGW-2","T_STLGW-2","Stronelairg Windfarm 2",108.000,"WIND","Stronelairg Windfarm Limited"
"STLGW-3","T_STLGW-3","Stronelairg Windfarm 3",108.000,"WIND","Stronelairg Windfarm Limited"
"STRNW-1","T_STRNW-1","Strathy North Wind Farm 1",70.000,"WIND","Strathy Wind Farm Limited"
"TDBNW-1","T_TDBNW-1","Toddleburn",31.600,"WIND","SSE Generation Ltd"
"THNTO-1","T_THNTO-1","Thanet Offshore Wind Limited 1",287.699,"WIND","Thanet Offshore Wind Limited"
"THNTO-2","T_THNTO-2","Thanet Offshore Wind Limited 2",230.159,"WIND","Thanet Offshore Wind Limited"
"TKNEW-1","T_TKNEW-1","Triton Knoll OSP East 1",412.000,"WIND","Triton Knoll Offshore Wind"
"TKNWW-1","T_TKNWW-1","Triton Knoll OSP west 1",412.000,"WIND","Triton Knoll Offshore Wind"
"TRLGW-1","T_TRLGW-1","T_TRLGW-1",18.742,"WIND","Smartestenergy Limited"
"TWSHW-1","T_TWSHW-1","Twenty Shilling Wind Farm",37.800,"WIND","Twentyshilling Limited"
"VKNGW-1","T_VKNGW-1","Viking Energy Windfarm BMU-1",121.800,"WIND","Viking Energy Wind Farm LLP"
"VKNGW-2","T_VKNGW-2","Viking Energy Windfarm BMU-2",121.800,"WIND","Viking Energy Wind Farm LLP"
"VKNGW-3","T_VKNGW-3","Viking Energy Windfarm BMU-3",121.800,"WIND","Viking Energy Wind Farm LLP"
"VKNGW-4","T_VKNGW-4","Viking Energy Windfarm BMU-4",121.800,"WIND","Viking Energy Wind Farm LLP"
"WDNSO-1","T_WDNSO-1","West of Duddon Sands Offshore1",197.000,"WIND","Morecambe Wind Limited"
"WDNSO-2","T_WDNSO-2","West of Duddon Sands Offshore2",201.000,"WIND","Morecambe Wind Limited"
"WDRGW-1","T_WDRGW-1","Windy Rig Wind Farm",42.800,"WIND","Windy Rig Wind Farm Limited"
"WHIHW-1","T_WHIHW-1","Whiteside Hill WF",27.520,"WIND","Whiteside Hill"
"WHILW-1","T_WHILW-1","T_WHILW-1",309.000,"WIND","SP Renewables (UK) Limited"
"WHILW-2","T_WHILW-2","Whitelee Extension",206.000,"WIND","SP Renewables (UK) Limited"
"WISTW-2","T_WISTW-2","Brockloch Rig 2 WF Exp A",61.500,"WIND","BROCKLOCH RIG WINDFARM LTD"
"WLNYO-2","T_WLNYO-2","WALNEY_2",183.600,"WIND","Walney Offshore Windfarms Ltd"
"WLNYO-3","T_WLNYO-3","WALNEY_3",330.000,"WIND","Walney Extension Ltd"
"WLNYO-4","T_WLNYO-4","WALNEY_4",330.000,"WIND","Walney Extension Ltd"
"WLNYW-1","T_WLNYW-1","WALNEY_1",182.000,"WIND","Walney Offshore Windfarms Ltd"
"WTMSO-1","T_WTMSO-1","WESTERMOST_ROUGH",205.000,"WIND","Westermost Rough Limited"
